"Flush Static Files Cache","Flush Static Files Cache",module,Magento_Backend
"Preprocessed view files and static files","Preprocessed view files and static files",module,Magento_Backend
Catalog,目錄,module,Magento_Backend
JavaScript/CSS,JavaScript/CSS,module,Magento_Backend
"JavaScript/CSS Cache","JavaScript/CSS Cache",module,Magento_Backend
"No records found.","沒有找到記錄.",module,Magento_Backend
Images,圖片,module,Magento_Backend
"Big Image","大圖片",module,Magento_Backend
Thumbnail,縮圖,module,Magento_Backend
"Additional Settings","更多設置",module,Magento_Backend
"records found","記錄被找到",module,Magento_Backend
selected,已選,module,Magento_Backend
"per page","每頁",module,Magento_Backend
"Previous page","前一頁",module,Magento_Backend
"of %1","of %1",module,Magento_Backend
"Next page","下一頁",module,Magento_Backend
"Export to:","匯出至:",module,Magento_Backend
Actions,操作,module,Magento_Backend
"Mass Actions","大量操作",module,Magento_Backend
"Unselect All","取消全選",module,Magento_Backend
"Select Visible","選擇可見",module,Magento_Backend
"Unselect Visible","取消選擇可見",module,Magento_Backend
"Changes have been made to this section that have not been saved.","Changes have been made to this section that have not been saved.",module,Magento_Backend
"This tab contains invalid data. Please resolve this before saving.","This tab contains invalid data. Please resolve this before saving.",module,Magento_Backend
"The information in this tab has been changed.","The information in this tab has been changed.",module,Magento_Backend
Loading...,加載中...,module,Magento_Backend
"System Backup","系統備份",module,Magento_Backup
"Database and Media Backup","數據庫與媒體備份",module,Magento_Backup
"Database Backup","數據庫備份",module,Magento_Backup
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.",module,Magento_Backup
"You need more permissions to activate maintenance mode right now.","You need more permissions to activate maintenance mode right now.",module,Magento_Backup
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.",module,Magento_Backup
"Something went wrong while putting your store into maintenance mode.","Something went wrong while putting your store into maintenance mode.",module,Magento_Backup
"You need more free space to create a backup.","You need more free space to create a backup.",module,Magento_Backup
"You need more permissions to create a backup.","You need more permissions to create a backup.",module,Magento_Backup
"We can't create the backup right now.","We can't create the backup right now.",module,Magento_Backup
Backups,備份,module,Magento_Backup
System,系統,module,Magento_Backup
Tools,工具,module,Magento_Backup
Backup,備份,module,Magento_Backup
"We can't delete one or more backups.","我們無法刪除一個或多個備份.",module,Magento_Backup
failed,失敗,module,Magento_Backup
successful,成功,module,Magento_Backup
"You deleted the selected backup(s).","已刪除您選定的備份.",module,Magento_Backup
"Can't load snapshot archive","無法加載快照存檔",module,Magento_Backup
"Please correct the password.","請更正密碼.",module,Magento_Backup
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.",module,Magento_Backup
"We can't find the backup file.","找不到備份檔案.",module,Magento_Backup
"We can't connect to the FTP right now.","我們不能連接到FTP伺服器.",module,Magento_Backup
"Failed to validate FTP.","無法驗證FTP.",module,Magento_Backup
"You need more permissions to perform a rollback.","You need more permissions to perform a rollback.",module,Magento_Backup
"Failed to rollback.","未能回滾.",module,Magento_Backup
Database,數據庫,module,Magento_Backup
"Database and Media","數據庫與媒體",module,Magento_Backup
"System (excluding Media)","系統（不包括媒體）",module,Magento_Backup
"You created the system backup.","您已創建系統備份.",module,Magento_Backup
"You created the system backup (excluding media).","您已創建系統備份（不包括媒體）.",module,Magento_Backup
"You created the database and media backup.","您已創建系統及媒體備份.",module,Magento_Backup
"You created the database backup.","您已創建數據庫備份.",module,Magento_Backup
"Please correct the order of creation for a new backup.","請更正新備份的創建順序.",module,Magento_Backup
"The backup file does not exist.","備份文件不存在.",module,Magento_Backup
"The backup file path was not specified.","未指定備份文件路徑.",module,Magento_Backup
"The backup file ""%1"" does not exist.","備份文件 ""%1"" 不存在.",module,Magento_Backup
"Sorry, but we cannot read from or write to backup file ""%1"".","很抱歉，但我們無法讀取或寫入到備份文件 ""%1"".",module,Magento_Backup
"The backup file handler was unspecified.","請指定備份文件的管理者.",module,Magento_Backup
"Something went wrong while writing to the backup file ""%1"".","寫入備份文件時發生錯誤 ""%1"".",module,Magento_Backup
"We can't save the Cron expression.","We can't save the Cron expression.",module,Magento_Backup
"You will lose any data created since the backup was made, including admin users, customers and orders.","You will lose any data created since the backup was made, including admin users, customers and orders.",module,Magento_Backup
"Are you sure you want to continue?","你確定要繼續?",module,Magento_Backup
"This may take a few moments.","這可能需要一些時間.",module,Magento_Backup
"Be sure your store is in maintenance mode during backup.","要確保您的存儲備份過程中處於維護模式.",module,Magento_Backup
"Backup Name","備份名稱",module,Magento_Backup
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.",module,Magento_Backup
"Maintenance mode","維護模式",module,Magento_Backup
"Please put your store into maintenance mode during backup.","在備份過程中，請把您的商店設定為維護模式.",module,Magento_Backup
Exclude,排除,module,Magento_Backup
"Exclude media folder from backup","從備份中排除媒體文件夾",module,Magento_Backup
"Please enter the password to confirm rollback.","請輸入密碼以確認回滾.",module,Magento_Backup
"This action cannot be undone.","這個動作不能撤消.",module,Magento_Backup
"User Password","用戶密碼",module,Magento_Backup
"Please put your store into maintenance mode during rollback processing.","回滾處理期間，請把您的商店設定為維護模式.",module,Magento_Backup
FTP,FTP,module,Magento_Backup
"Use FTP Connection","Use FTP Connection",module,Magento_Backup
"FTP credentials","FTP credentials",module,Magento_Backup
"FTP Host","FTP Host",module,Magento_Backup
"FTP Login","FTP Login",module,Magento_Backup
"FTP Password","FTP Password",module,Magento_Backup
"Magento root directory","Magento root directory",module,Magento_Backup
"Create Backup","創建備份",module,Magento_Backup
Country,國家,module,Magento_Braintree
"Allowed Credit Card Types","允許的信用卡類型",module,Magento_Braintree
"Add Rule","添加規則",module,Magento_Braintree
Month,月份,module,Magento_Braintree
Year,年份,module,Magento_Braintree
"Stored Card","已保存的信用卡",module,Magento_Braintree
"Credit Card Type","信用卡類型",module,Magento_Braintree
"Credit Card Number","信用卡號",module,Magento_Braintree
"Credit card successfully added","成功添加信用卡",module,Magento_Braintree
"Something went wrong while saving the card.","保存信用卡時發生錯誤.",module,Magento_Braintree
"Credit card does not exist","信用卡不存在",module,Magento_Braintree
"Delete Credit Card","刪除信用卡",module,Magento_Braintree
